timestamps,open,high,low,close,volume,amount
2026-04-15 08:30:00,73947.5,74099.0,73922.3,74091.0,355.684,26323627.0761
2026-04-15 08:35:00,74091.0,74135.1,74049.5,74056.4,193.654,14346447.1647
2026-04-15 08:40:00,74056.4,74107.4,74037.6,74050.0,289.788,21466145.0334
2026-04-15 08:45:00,74050.0,74057.2,73990.0,74015.9,152.716,11302690.4467
2026-04-15 08:50:00,74015.9,74187.9,73994.0,74115.8,476.731,35336795.4433
2026-04-15 08:55:00,74115.8,74134.5,74062.7,74063.0,162.785,12062348.703
2026-04-15 09:00:00,74063.0,74136.0,73980.3,73997.2,391.868,29012260.8999
2026-04-15 09:05:00,73997.2,74034.7,73960.0,73970.1,137.464,10170714.6033
2026-04-15 09:10:00,73970.1,74022.2,73906.9,73979.9,158.978,11759192.3622
2026-04-15 09:15:00,73979.9,74038.5,73966.3,74038.5,49.723,3679531.7535
2026-04-15 09:20:00,74038.5,74045.5,74002.2,74002.2,84.442,6251239.2465
2026-04-15 09:25:00,74002.2,74002.3,73873.0,73907.7,220.632,16309732.6654
2026-04-15 09:30:00,73907.7,73969.3,73880.0,73885.4,72.399,5352812.7066
2026-04-15 09:35:00,73885.4,73948.0,73875.7,73876.3,71.969,5318899.0989
2026-04-15 09:40:00,73876.3,73948.0,73865.0,73920.0,70.021,5174722.2702
2026-04-15 09:45:00,73920.0,73940.1,73883.6,73906.5,56.482,4174414.854
2026-04-15 09:50:00,73906.5,73934.5,73880.0,73934.5,36.618,2706552.4516
2026-04-15 09:55:00,73934.5,73978.0,73922.0,73963.2,122.188,9036087.0388
2026-04-15 10:00:00,73963.2,74029.1,73936.3,73965.8,170.362,12603870.969
2026-04-15 10:05:00,73965.8,74134.0,73956.5,74084.1,176.604,13083570.1114
2026-04-15 10:10:00,74084.1,74122.0,74054.8,74074.4,130.771,9687342.3628
2026-04-15 10:15:00,74074.4,74077.1,73948.1,73962.2,157.716,11673142.5649
2026-04-15 10:20:00,73962.2,73981.0,73893.6,73944.3,107.101,7919153.3311
2026-04-15 10:25:00,73944.3,73981.7,73841.6,73861.0,202.856,14987736.9436
2026-04-15 10:30:00,73861.0,73877.4,73753.2,73792.4,237.77,17549817.6173
2026-04-15 10:35:00,73792.4,73827.0,73737.2,73804.1,106.431,7852763.1811
2026-04-15 10:40:00,73804.1,74023.0,73804.0,74019.4,260.593,19265896.3277
2026-04-15 10:45:00,74019.4,74222.0,74016.1,74039.9,652.955,48408205.7305
2026-04-15 10:50:00,74039.9,74071.4,73955.1,73955.1,252.416,18676596.4452
2026-04-15 10:55:00,73955.1,73955.1,73781.4,73817.8,205.366,15170283.382
2026-04-15 11:00:00,73817.8,73912.3,73817.8,73860.7,144.518,10674873.8877
2026-04-15 11:05:00,73860.7,73962.3,73829.8,73947.0,94.242,6963411.1051
2026-04-15 11:10:00,73947.0,74051.7,73942.5,73982.0,196.933,14574287.3677
2026-04-15 11:15:00,73982.0,73987.8,73900.5,73908.9,70.436,5207947.8479
2026-04-15 11:20:00,73908.9,73944.4,73879.3,73935.9,71.742,5303279.1941
2026-04-15 11:25:00,73935.9,73971.3,73915.4,73915.4,133.551,9875736.3061
2026-04-15 11:30:00,73915.4,73996.5,73896.1,73938.8,130.43,9644956.1159
2026-04-15 11:35:00,73938.8,74027.3,73938.1,73969.1,113.637,8408265.1561
2026-04-15 11:40:00,73969.1,74010.0,73954.0,74010.0,72.77,5383157.2365
2026-04-15 11:45:00,74010.0,74198.5,73984.0,74051.1,635.421,47075167.6556
2026-04-15 11:50:00,74051.1,74217.0,74046.7,74172.5,358.863,26606610.9386
2026-04-15 11:55:00,74172.5,74187.5,74120.0,74158.0,157.447,11673972.6888
2026-04-15 12:00:00,74158.0,74185.0,74059.2,74097.0,224.955,16676176.4486
2026-04-15 12:05:00,74097.0,74135.0,74001.8,74101.5,181.096,13411513.4436
2026-04-15 12:10:00,74101.5,74200.0,74101.5,74155.0,199.422,14788929.6606
2026-04-15 12:15:00,74155.0,74194.9,74069.4,74167.4,109.523,8121011.4134
2026-04-15 12:20:00,74167.4,74230.0,74156.4,74185.9,163.032,12096606.9463
2026-04-15 12:25:00,74185.9,74206.6,74110.0,74138.2,128.468,9525665.0261
2026-04-15 12:30:00,74138.2,74199.6,74130.5,74184.3,55.254,4098029.5828
2026-04-15 12:35:00,74184.3,74432.9,74172.0,74403.8,917.424,68187993.8041
2026-04-15 12:40:00,74403.8,74411.7,74254.7,74289.3,603.6,44859733.4055
2026-04-15 12:45:00,74289.3,74321.3,74271.4,74301.1,253.15,18808139.4795
2026-04-15 12:50:00,74301.1,74315.1,74238.1,74285.5,230.785,17141278.1327
2026-04-15 12:55:00,74285.5,74289.9,74222.0,74222.1,134.167,9963952.7372
2026-04-15 13:00:00,74222.1,74247.9,74130.9,74193.9,231.66,17183194.1718
2026-04-15 13:05:00,74193.9,74310.0,74165.9,74290.1,116.374,8640256.9394
2026-04-15 13:10:00,74290.1,74295.1,74226.5,74269.1,65.681,4877076.3284
2026-04-15 13:15:00,74269.1,74281.0,74230.0,74230.0,43.307,3215802.0001
2026-04-15 13:20:00,74230.0,74277.1,74200.0,74228.8,77.48,5751638.8034
2026-04-15 13:25:00,74228.8,74395.5,74228.8,74349.0,187.087,13907868.7441
2026-04-15 13:30:00,74349.0,74380.0,74062.5,74152.6,705.788,52342747.6714
2026-04-15 13:35:00,74152.6,74175.9,73910.8,74082.8,774.655,57368751.7921
2026-04-15 13:40:00,74082.8,74097.3,73807.1,73835.6,718.301,53080389.0219
2026-04-15 13:45:00,73835.6,73964.8,73805.1,73876.0,507.02,37463452.9391
2026-04-15 13:50:00,73876.0,73933.0,73766.2,73802.2,402.448,29716728.779
2026-04-15 13:55:00,73802.2,74094.0,73801.6,74014.1,378.892,28023202.314
2026-04-15 14:00:00,74014.1,74025.0,73886.4,73886.4,309.546,22890814.5285
2026-04-15 14:05:00,73886.4,73948.9,73780.8,73900.1,230.712,17039557.381
2026-04-15 14:10:00,73900.1,74127.4,73889.2,74101.5,493.46,36522547.1212
2026-04-15 14:15:00,74101.5,74344.3,74088.1,74117.9,891.088,66140346.4576
2026-04-15 14:20:00,74117.9,74407.8,74117.9,74379.3,1181.482,87782139.9469
2026-04-15 14:25:00,74379.3,74474.6,74351.5,74383.7,553.896,41223489.8589
2026-04-15 14:30:00,74383.7,74430.0,74244.2,74263.6,353.129,26252630.0723
2026-04-15 14:35:00,74263.6,74274.3,73931.9,73951.6,664.41,49240629.6163
2026-04-15 14:40:00,73951.6,74074.9,73870.0,73933.4,553.481,40935818.8459
2026-04-15 14:45:00,73933.4,74096.5,73911.5,74073.5,251.51,18609210.5234
2026-04-15 14:50:00,74073.5,74169.3,74043.0,74116.6,370.737,27478235.4047
2026-04-15 14:55:00,74116.6,74219.0,74079.8,74111.5,203.235,15074566.9041
2026-04-15 15:00:00,74111.5,74211.4,74070.3,74087.3,232.925,17270317.8425
2026-04-15 15:05:00,74087.3,74106.5,73924.4,73990.0,614.356,45480094.5454
2026-04-15 15:10:00,73990.0,74263.3,73929.7,74228.0,694.544,51436568.0454
2026-04-15 15:15:00,74228.0,74259.9,74084.8,74094.9,188.154,13954822.3939
2026-04-15 15:20:00,74094.9,74128.0,73956.0,74007.3,213.91,15836182.4688
2026-04-15 15:25:00,74007.3,74059.1,73940.9,73985.5,172.579,12768866.1921
2026-04-15 15:30:00,73985.5,73990.5,73519.0,73607.9,1874.826,138150443.3267
2026-04-15 15:35:00,73607.9,73716.2,73605.3,73692.4,214.78,15822840.6447
2026-04-15 15:40:00,73692.4,73882.2,73692.3,73805.0,457.7,33782125.5998
2026-04-15 15:45:00,73805.0,73914.3,73774.7,73870.0,224.052,16550826.0634
2026-04-15 15:50:00,73870.0,73960.5,73792.1,73795.9,129.39,9560207.6156
2026-04-15 15:55:00,73795.9,73811.5,73685.0,73798.3,192.04,14163972.3788
2026-04-15 16:00:00,73798.3,73940.0,73714.4,73906.6,280.659,20729307.628
2026-04-15 16:05:00,73906.6,73947.6,73864.8,73937.1,105.982,7833405.8059
2026-04-15 16:10:00,73937.1,73996.3,73892.7,73975.3,127.2,9405392.8619
2026-04-15 16:15:00,73975.3,74046.0,73934.2,74026.9,359.867,26630586.2456
2026-04-15 16:20:00,74026.9,74145.4,74026.8,74079.0,486.199,36021590.472
2026-04-15 16:25:00,74079.0,74113.2,74024.2,74051.2,102.496,7592264.4013
2026-04-15 16:30:00,74051.2,74086.0,73947.7,73987.5,288.127,21320373.0247
2026-04-15 16:35:00,73987.5,74124.9,73982.0,73982.0,199.869,14803399.4128
2026-04-15 16:40:00,73982.0,73995.5,73819.1,73851.9,212.043,15667565.4813
2026-04-15 16:45:00,73851.9,73968.0,73800.0,73961.8,148.32,10955439.6574
2026-04-15 16:50:00,73961.8,73992.5,73770.5,73795.4,164.736,12167790.7883
2026-04-15 16:55:00,73795.4,73904.8,73770.1,73899.9,116.504,8601746.4787
2026-04-15 17:00:00,73899.9,74034.8,73870.0,74025.1,205.789,15221563.7106
2026-04-15 17:05:00,74025.1,74070.2,73975.8,74008.7,85.56,6333533.2155
2026-04-15 17:10:00,74008.7,74022.4,73931.2,73989.6,55.332,4093104.6351
2026-04-15 17:15:00,73989.6,74022.2,73964.7,73982.5,63.348,4687241.3479
2026-04-15 17:20:00,73982.5,73994.5,73910.0,73970.8,68.072,5034240.2359
2026-04-15 17:25:00,73970.8,74200.0,73970.8,74080.4,320.976,23790970.7489
2026-04-15 17:30:00,74080.4,74155.4,74024.2,74102.6,181.175,13423786.2406
2026-04-15 17:35:00,74102.6,74151.6,74026.5,74034.0,156.182,11572008.6158
2026-04-15 17:40:00,74034.0,74054.2,73875.0,73941.0,183.571,13577416.1479
2026-04-15 17:45:00,73941.0,74000.2,73897.0,73955.6,172.567,12762265.2876
2026-04-15 17:50:00,73955.6,74120.0,73955.6,74074.5,152.892,11321243.4084
2026-04-15 17:55:00,74074.5,74129.5,74040.0,74094.0,48.628,3602943.5631
2026-04-15 18:00:00,74094.0,74237.0,74023.7,74195.7,585.643,43422797.4991
2026-04-15 18:05:00,74195.7,74271.2,74150.0,74178.7,218.869,16243131.3801
2026-04-15 18:10:00,74178.7,74264.5,74164.2,74242.8,137.458,10198780.714
2026-04-15 18:15:00,74242.8,74338.7,74239.1,74266.2,175.22,13016411.0403
2026-04-15 18:20:00,74266.2,74292.5,74194.1,74230.8,86.117,6393949.6907
2026-04-15 18:25:00,74230.8,74251.8,74139.0,74162.1,114.196,8471649.1921
2026-04-15 18:30:00,74162.1,74289.6,74150.0,74265.5,110.492,8202021.3847
2026-04-15 18:35:00,74265.5,74288.2,74186.2,74219.1,74.422,5524541.8937
2026-04-15 18:40:00,74219.1,74274.2,74183.9,74264.2,70.158,5207540.8554
2026-04-15 18:45:00,74264.2,74309.9,74234.6,74308.4,140.163,10411857.2165
2026-04-15 18:50:00,74308.4,74353.6,74296.1,74323.6,171.912,12777995.4244
2026-04-15 18:55:00,74323.6,74362.0,74295.2,74347.5,136.445,10142989.4495
2026-04-15 19:00:00,74347.5,74499.0,74306.7,74412.0,499.8,37198909.1655
2026-04-15 19:05:00,74412.0,74657.0,74412.0,74640.5,668.613,49852753.7481
2026-04-15 19:10:00,74640.5,74665.5,74576.8,74597.7,225.708,16843010.0774
2026-04-15 19:15:00,74597.7,74675.0,74528.7,74605.1,273.525,20410020.3583
2026-04-15 19:20:00,74605.1,74627.9,74516.6,74596.8,190.799,14230531.2401
2026-04-15 19:25:00,74596.8,74680.0,74581.3,74678.8,131.647,9826578.4644
2026-04-15 19:30:00,74678.8,74929.0,74678.0,74905.2,1324.548,99073839.8393
2026-04-15 19:35:00,74905.2,75246.7,74888.4,75100.5,2142.747,160954511.7504
2026-04-15 19:40:00,75100.5,75122.7,74956.2,75029.6,836.929,62797098.5586
2026-04-15 19:45:00,75029.6,75037.0,74894.1,74999.9,369.468,27693606.4323
2026-04-15 19:50:00,74999.9,75100.0,74943.1,75017.5,330.263,24779537.1761
2026-04-15 19:55:00,75017.5,75049.6,74932.9,74960.3,361.169,27084251.4208
2026-04-15 20:00:00,74960.3,74999.0,74786.9,74814.8,577.985,43269983.1872
2026-04-15 20:05:00,74814.8,74875.8,74654.4,74737.6,357.619,26724507.7879
2026-04-15 20:10:00,74737.6,74740.5,74555.8,74629.6,382.533,28551266.6238
2026-04-15 20:15:00,74629.6,74648.8,74456.9,74574.5,544.196,40555397.7314
2026-04-15 20:20:00,74574.5,74629.1,74526.2,74597.5,148.206,11053826.2596
2026-04-15 20:25:00,74597.5,74755.6,74490.3,74733.5,368.039,27469000.6191
2026-04-15 20:30:00,74733.5,74880.6,74680.1,74729.3,549.916,41128469.0733
2026-04-15 20:35:00,74729.3,74795.1,74613.9,74626.7,336.522,25130985.5284
2026-04-15 20:40:00,74626.7,74730.0,74579.0,74704.6,291.525,21761468.5759
2026-04-15 20:45:00,74704.6,74774.0,74687.4,74734.6,127.817,9551698.0468
2026-04-15 20:50:00,74734.6,74840.4,74695.1,74799.9,172.263,12884052.0195
2026-04-15 20:55:00,74799.9,74839.7,74767.4,74791.3,123.056,9205402.6496
2026-04-15 21:00:00,74791.3,74819.0,74700.0,74750.0,129.923,9713501.5723
2026-04-15 21:05:00,74750.0,74785.2,74680.0,74727.3,130.38,9744171.5571
2026-04-15 21:10:00,74727.3,74754.9,74678.2,74690.2,107.109,8003539.1557
2026-04-15 21:15:00,74690.2,74690.3,74570.8,74600.0,115.216,8597611.3093
2026-04-15 21:20:00,74600.0,74653.6,74550.0,74634.4,99.168,7397813.6292
2026-04-15 21:25:00,74634.4,74645.8,74578.1,74600.1,36.688,2737269.2259
2026-04-15 21:30:00,74600.1,74618.0,74505.4,74518.0,61.281,4568717.9287
2026-04-15 21:35:00,74518.0,74681.5,74518.0,74681.5,107.095,7986057.4744
2026-04-15 21:40:00,74681.5,74778.0,74607.5,74681.3,268.445,20053653.4251
2026-04-15 21:45:00,74681.3,74734.4,74661.5,74697.9,66.655,4978780.4238
2026-04-15 21:50:00,74697.9,74774.4,74697.9,74761.2,80.876,6045032.1036
2026-04-15 21:55:00,74761.2,74787.0,74663.6,74704.6,75.439,5636923.7631
2026-04-15 22:00:00,74704.6,75040.0,74693.6,74960.0,375.129,28103385.0338
2026-04-15 22:05:00,74960.0,75132.3,74854.0,75104.3,340.377,25531431.5999
2026-04-15 22:10:00,75104.3,75107.9,74987.7,75005.7,203.685,15284997.4093
2026-04-15 22:15:00,75005.7,75017.4,74862.1,74882.1,209.154,15676341.7421
2026-04-15 22:20:00,74882.1,75024.8,74875.2,74960.7,126.2,9460901.8011
2026-04-15 22:25:00,74960.7,74993.0,74891.0,74943.3,104.452,7826241.4812
2026-04-15 22:30:00,74943.3,75031.5,74907.5,74930.1,126.734,9500953.2013
2026-04-15 22:35:00,74930.1,75396.0,74871.0,75240.3,737.599,55472043.5086
2026-04-15 22:40:00,75240.3,75272.5,75009.3,75009.4,310.724,23340782.7348
2026-04-15 22:45:00,75009.4,75114.6,74982.3,75087.1,161.91,12151214.4256
2026-04-15 22:50:00,75087.1,75177.9,75026.7,75046.6,128.492,9649139.1596
2026-04-15 22:55:00,75046.6,75046.7,74869.6,74929.8,330.677,24778540.0364
2026-04-15 23:00:00,74929.8,74929.8,74726.3,74783.7,397.7,29745573.88
2026-04-15 23:05:00,74783.7,74857.5,74679.7,74740.2,318.172,23790732.9429
2026-04-15 23:10:00,74740.2,74776.8,74656.4,74708.1,104.005,7770567.8335
2026-04-15 23:15:00,74708.1,74729.1,74600.3,74683.0,251.237,18756981.8455
2026-04-15 23:20:00,74683.0,74711.5,74626.5,74659.7,117.366,8763943.1092
2026-04-15 23:25:00,74659.7,74715.6,74645.2,74700.2,128.413,9588516.9152
2026-04-15 23:30:00,74700.2,74740.0,74627.7,74673.4,122.416,9141621.6654
2026-04-15 23:35:00,74673.4,74673.5,74584.1,74609.8,126.237,9420835.4675
2026-04-15 23:40:00,74609.8,74654.8,74573.6,74622.8,68.061,5077767.6237
2026-04-15 23:45:00,74622.8,74755.2,74608.8,74709.7,88.783,6632295.6516
2026-04-15 23:50:00,74709.7,74828.8,74692.1,74763.5,135.083,10102046.4209
2026-04-15 23:55:00,74763.5,74778.4,74733.9,74778.3,42.576,3182900.6115
2026-04-16 00:00:00,74778.3,74800.0,74600.0,74600.0,180.256,13467684.5063
2026-04-16 00:05:00,74600.0,74673.3,74563.0,74585.2,128.433,9581769.431
2026-04-16 00:10:00,74585.2,74655.0,74560.0,74560.0,107.947,8053266.4511
